,Id,Amount,AccountId,CreatedDate,ClosedDate,OwnerId,IsWon,IsClosed,StageName,Phone Number,Industry,Type,RecordTypeId,Pricebook2Id
0,0066T000000ZEDAqaE,14304,0056T000000ZuRDqaA,2024-11-03 11:57:15.000,2031-09-03 11:57:15.000,0056T000000ZoOPqaA,0,1,Open,470-413-1746x69010,Pharmaceuticals & Biotech,Return,012840000004cb0XAE,01s840000000ZruAAU
1,0066T000000ZMviqag,13407,0056T000000ZvsKqas,2024-11-01 07:50:00.000,2035-11-01 07:50:00.000,0056T000000ZZnbqag,1,0,Closed Won,(426)512-7920x441,Aerospace & Defense,Amendment,012840000004cb0XAE,01s840000000ZruAAU
2,0066T000000Zztbqac,65512,0056T000000ZguIqas,2024-10-27 01:19:15.000,2030-03-27 01:19:15.000,0056T000000ZMREqaE,1,0,Closed Won,(353)871-3489,Real Estate,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
3,0066T000000ZxCqqak,90592,0056T000000ZCvxqag,2024-11-02 03:37:35.000,2026-03-02 03:37:35.000,0056T000000ZDjfqag,0,1,Open,309-663-0846x2066,Investment Banking,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
4,0066T000000ZqWqqak,18120,0056T000000Zqccqac,2024-10-26 13:43:32.000,2026-07-26 13:43:32.000,0056T000000ZogFqas,1,0,Closed Won,001-773-800-2033x273,Wholesale,Return,012840000004cb0XAE,01s840000000ZruAAU
5,0066T000000ZzlDqas,1288,0056T000000ZCvxqag,2024-11-04 02:04:02.000,2031-02-04 02:04:02.000,0056T000000ZPyrqag,1,0,Closed Won,(276)707-3997,"Energy, Utilities & Waste Treatment",Return,012840000004cb0XAE,01s840000000ZruAAU
6,0066T000000ZTPfqao,88178,0056T000000ZPNYqaE,2024-10-28 17:01:33.000,2035-08-28 17:01:33.000,0056T000000ZzHKqaA,1,0,Closed Won,6913282388,Computer Equipment,Renewal,012840000004cb0XAE,01s840000000ZruAAU
7,0066T000000Zwvaqac,74101,0056T000000ZuRDqaA,2024-11-05 01:02:25.000,2031-10-05 01:02:25.000,0056T000000ZWkAqaw,0,1,Open,001-542-643-2695x0161,Real Estate,Existing Customer,012840000004cb0XAE,01s840000000ZruAAU
8,0066T000000ZcVrqak,48691,0056T000000ZCvxqag,2024-10-28 23:13:29.000,2030-07-28 23:13:29.000,0056T000000ZhPHqaA,1,0,Closed Won,(286)875-4250x0179,Government (Defense),Amendment,012840000004cb0XAE,01s840000000ZruAAU
9,0066T000000ZdUtqak,56936,0056T000000ZqAQqaA,2024-10-31 18:17:40.000,2033-10-31 18:17:40.000,0056T000000ZCPoqao,1,0,Closed Won,757.986.5490,Medical Devices,New Customer,012840000004cb0XAE,01s840000000ZruAAU
10,0066T000000ZIjnqag,9927,0056T000000ZPNYqaE,2024-11-04 18:29:34.000,2028-11-04 18:29:34.000,0056T000000Ztpkqac,0,1,Open,3389893850,Medical Devices,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
11,0066T000000ZVVTqaE,93206,0056T000000ZcHCqaA,2024-10-27 23:18:56.000,2028-11-27 23:18:56.000,0056T000000ZKqHqaw,0,1,Open,001-309-688-5592,Aerospace & Defense,Amendment,012840000004cb0XAE,01s840000000ZruAAU
12,0066T000000ZqWKqaA,55786,0056T000000ZqAQqaA,2024-10-27 19:59:52.000,2031-05-27 19:59:52.000,0056T000000ZHRBqaE,0,1,Open,319.960.4371x90828,IT Services,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
13,0066T000000ZWadqag,98730,0056T000000ZCvxqag,2024-10-29 03:24:31.000,2025-12-29 03:24:31.000,0056T000000ZBuyqag,0,1,Open,475-368-5891x42449,Insurance,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
14,0066T000000ZwYmqak,49062,0056T000000ZqAQqaA,2024-10-28 08:49:18.000,2029-02-28 08:49:18.000,0056T000000ZSGqqao,0,1,Open,(990)606-7676x92448,Management Consulting,Rebill,012840000004cb0XAE,01s840000000ZruAAU
15,0066T000000ZGUhqao,39466,0056T000000ZxDrqak,2024-10-28 16:05:00.000,2032-07-28 16:05:00.000,0056T000000ZhDYqaA,0,1,Open,(336)905-0759,Government (Defense),Existing Customer,012840000004cb0XAE,01s840000000ZruAAU
16,0066T000000Zmawqac,96155,0056T000000ZCvxqag,2024-11-03 01:10:55.000,2033-07-03 01:10:55.000,0056T000000ZiUKqaA,1,0,Closed Won,001-404-401-5683x85945,Oil & Gas,Return,012840000004cb0XAE,01s840000000ZruAAU
17,0066T000000ZOeiqag,76567,0056T000000Zijiqac,2024-11-02 23:50:35.000,2034-06-02 23:50:35.000,0056T000000ZRyhqag,0,1,Open,(815)965-4963x637,Consumer Services,Services,012840000004cb0XAE,01s840000000ZruAAU
18,0066T000000ZTpBqaw,5395,0056T000000ZSMXqaE,2024-11-02 14:42:26.000,2030-05-02 14:42:26.000,0056T000000ZHRBqaE,0,1,Open,001-706-966-3934x92698,Computer Equipment,New Customer,012840000004cb0XAE,01s840000000ZruAAU
19,0066T000000Zjyhqac,93759,0056T000000ZPNYqaE,2024-10-28 05:48:52.000,2026-12-28 05:48:52.000,0056T000000Zwgyqac,0,1,Open,903-783-4970x5091,Wholesale,Renewal,012840000004cb0XAE,01s840000000ZruAAU
20,0066T000000ZBBiqao,53102,0056T000000ZmNyqak,2024-10-29 16:18:43.000,2030-06-29 16:18:43.000,0056T000000ZoOPqaA,0,1,Open,643-672-0964x548,Real Estate,Services,012840000004cb0XAE,01s840000000ZruAAU
21,0066T000000Zpoqqac,99809,0056T000000ZvsKqas,2024-10-27 14:10:18.000,2031-07-27 14:10:18.000,0056T000000Zlczqac,1,0,Closed Won,001-822-754-8329x067,Federal,New Customer,012840000004cb0XAE,01s840000000ZruAAU
22,0066T000000ZlsOqas,64847,0056T000000ZguIqas,2024-10-31 00:15:03.000,2030-05-31 00:15:03.000,0056T000000ZPyrqag,0,1,Open,(317)289-2238x273,Wholesale,Services,012840000004cb0XAE,01s840000000ZruAAU
23,0066T000000ZAtvqag,12489,0056T000000ZIroqag,2024-10-31 13:54:14.000,2034-06-30 13:54:14.000,0056T000000ZbbTqas,0,1,Open,210-534-7878x735,Government (Defense),Cancel,012840000004cb0XAE,01s840000000ZruAAU
24,0066T000000ZmBKqaA,61430,0056T000000ZDCEqaE,2024-10-27 12:55:20.000,2027-10-27 12:55:20.000,0056T000000ZiaVqas,0,1,Open,305.450.1074,Real Estate,Existing Customer,012840000004cb0XAE,01s840000000ZruAAU
25,0066T000000ZSWmqao,21802,0056T000000ZguIqas,2024-10-31 20:17:59.000,2028-03-31 20:17:59.000,0056T000000ZleAqas,0,1,Open,652-319-6710x3248,Insurance,Rebill,012840000004cb0XAE,01s840000000ZruAAU
26,0066T000000ZfaFqas,25411,0056T000000ZvsKqas,2024-11-05 08:28:18.000,2027-09-05 08:28:18.000,0056T000000ZUmLqaw,1,0,Closed Won,910-602-9853,IT Services,Rebill,012840000004cb0XAE,01s840000000ZruAAU
